Rank,Movie,Release,Distributor,Genre,2019 Gross,Tickets Sold
,,Date,,,,
135,Once Were Brothers: Robbie …,2/21/2020,Magnolia Pictures,Documentary,"$449,561 ",49078
137,Infamous,6/12/2020,Vertical Entertai…,Action,"$429,148 ",46850
138,Tulsa,8/21/2020,Self Distributed,Drama,"$413,522 ",45144
139,Buddy Games,11/20/2020,Paramount Pictures,Comedy,"$405,904 ",44312
140,Yellow Rose,10/8/2020,Sony Pictures,Drama,"$367,849 ",40158
141,The Kid Detective,10/16/2020,Sony Pictures,Black Comedy,"$364,138 ",39753
142,Greed,2/28/2020,Sony Pictures Cla…,Comedy,"$355,308 ",38789
144,Ride Your Wave,2/19/2020,GKIDS,Comedy,"$332,432 ",36291
145,Les Misérables,1/10/2020,Amazon Studios,Drama,"$330,181 ",36045
146,Ordinary Love,2/14/2020,Bleecker Street,Drama,"$323,688 ",35337
148,Save Yourselves!,10/2/2020,Bleecker Street,Comedy,"$301,162 ",32877
149,The Informer,11/6/2020,Aviron Pictures,Thriller/Suspense,"$300,460 ",32801
151,The Traitor,1/31/2020,Sony Pictures Cla…,Drama,"$296,027 ",32317
154,Created Equal: Clarence Tho…,1/31/2020,Manifold Productions,Documentary,"$282,149 ",30802
155,Missão: Vingança,11/13/2020,Saban Films,Black Comedy,"$278,378 ",30390
157,"Mafia, Inc.",2/14/2020,Films Seville,Drama,"$264,552 ",28881
159,The Climb,11/13/2020,Sony Pictures Cla…,Drama,"$234,429 ",25592
160,The Secrets We Keep,9/16/2020,Bleecker Street,Thriller/Suspense,"$231,119 ",25231
162,Legend of Deification,10/1/2020,Well Go USA,Adventure,"$214,670 ",23435
164,Wild Mountain Thyme,12/11/2020,Bleecker Street,Drama,"$213,441 ",23301
165,Beanpole,1/29/2020,Kino Lorber,Drama,"$196,258 ",21425
166,The Doors: Break on Thru — …,2/12/2020,Trafalgar Releasing,Documentary,"$186,920 ",20406
167,The Wolf of Snow Hollow,10/9/2020,Orion Classics,Horror,"$185,026 ",20199
168,Come Away,11/13/2020,Relativity,Drama,"$184,477 ",20139
171,And Then We Danced,2/7/2020,Music Box Films,Drama,"$177,262 ",19351
172,No Escape,9/18/2020,Vertical Entertai…,Horror,"$167,962 ",18336
173,Extra Ordinary,3/6/2020,Cranked Up Films,Horror,"$164,346 ",17941
175,Ammonite,11/13/2020,Neon,Drama,"$160,930 ",17568
176,A Call to Spy,10/2/2020,IFC Films,Drama,"$159,014 ",17359
177,The Dark and The Wicked,11/6/2020,RLJ Entertainment,Horror,"$152,261 ",16622
178,The Burnt Orange Heresy,3/6/2020,Sony Pictures Cla…,Thriller/Suspense,"$144,201 ",15742
179,Always & Forever,11/20/2020,RLJ Entertainment,Thriller/Suspense,"$144,161 ",15738
180,Wendy,2/28/2020,Searchlight Pictures,Drama,"$143,518 ",15667
181,Incitement,1/31/2020,Greenwich,Thriller/Suspense,"$140,306 ",15317
182,Archive,7/10/2020,Vertical Entertai…,,"$139,593 ",15239
183,Burden,2/28/2020,101 Studios,Drama,"$139,270 ",15204
184,Lupin III: The First,10/18/2020,GKIDS,Adventure,"$139,066 ",15181
185,The Nest,9/18/2020,IFC Films,Drama,"$137,852 ",15049
186,Beneath Us,3/6/2020,NME,Horror,"$137,260 ",14984
188,The Times of Bill Cunningham,2/14/2020,Greenwich,Documentary,"$134,288 ",14660
191,Saint Frances,2/28/2020,Oscilloscope Pict…,Multiple Genres,"$127,275 ",13894
192,Corpus Christi,2/14/2020,Film Movement,Drama,"$127,240 ",13890
193,The Man Standing Next,1/24/2020,Capelight Pictures,Thriller/Suspense,"$113,527 ",12393
194,Murder in the Woods,8/14/2020,Rezinate Entertai…,Horror,"$109,299 ",11932
196,Hope Gap,3/6/2020,Roadside Attractions,Drama,"$104,732 ",11433
199,Archenemy,12/11/2020,RLJ Entertainment,Action,"$101,360 ",11065
200,Made in Italy,8/7/2020,IFC Films,Drama,"$101,339 ",11063
201,First Cow,3/6/2020,A24,Drama,"$101,068 ",11033
202,The Silencing,8/14/2020,Saban Films,Thriller/Suspense,"$100,746 ",10998
204,Come to Daddy,2/7/2020,Saban Films,Black Comedy,"$96,713 ",10558
205,Tesla,8/21/2020,IFC Films,Drama,"$93,147 ",10168
208,First Lady,2/14/2020,ArtAffects,Romantic Comedy,"$89,885 ",9812
210,StarDog and TurboCat,6/19/2020,Vivafilm,Adventure,"$80,496 ",8787
211,Percy,10/9/2020,Mongrel Media,Drama,"$76,511 ",8352
213,Pray: The Story of Patrick …,10/9/2020,ArtAffects,Documentary,"$72,347 ",7898
214,How to Build a Girl,5/8/2020,IFC Films,Comedy,"$70,632 ",7710
216,We Summon the Darkness,5/22/2020,Saban Films,Horror,"$60,794 ",6636
217,My Brothers’ Crossing,9/3/2020,Atlas Distribution,Drama,"$59,390 ",6483
218,Summerland,7/31/2020,IFC Films,Drama,"$58,434 ",6379
219,Bacurau,3/6/2020,Kino Lorber,Action,"$58,115 ",6344
222,The Dissident,12/25/2020,Briarcliffe Enter…,Documentary,"$57,000 ",6222
223,The Whistlers,2/28/2020,Magnolia Pictures,Comedy,"$55,608 ",6070
224,A Simple Wedding,2/14/2020,Blue Fox Entertai…,Romantic Comedy,"$54,415 ",5940
227,Miss Fisher & The Crypt Of …,3/13/2020,Acorn TV,Adventure,"$51,032 ",5571
228,Henchmen,10/2/2020,Entertainment One,Adventure,"$49,676 ",5423
229,The Way I See it,9/18/2020,Focus Features,Documentary,"$49,030 ",5352
230,VHYes,1/12/2020,Oscilloscope Pict…,Comedy,"$47,037 ",5135
231,Enter the Fat Dragon,2/14/2020,Well Go USA,Action,"$46,855 ",5115
236,Three Christs,1/10/2020,IFC Films,Drama,"$37,788 ",4125
237,Other Music,4/17/2020,Oscilloscope Pict…,Documentary,"$37,191 ",4060
238,Solo Brathuke So Better,12/25/2020,Zee Studios,Drama,"$35,000 ",3820
239,Juvenile Delinquents,8/7/2020,Atlas Distribution,Drama,"$34,292 ",3743
240,Best of Catvideofest,4/3/2020,Oscilloscope Pict…,Documentary,"$34,287 ",3743
242,True History Of The Kelly Gang,4/24/2020,IFC Films,Drama,"$33,816 ",3691
243,Swallow,3/6/2020,IFC Films,Thriller/Suspense,"$33,419 ",3648
246,Embattled,11/20/2020,IFC Films,Drama,"$32,259 ",3521
247,Nick Mason’s Saucerful of S…,3/10/2020,Trafalgar Releasing,Concert/Perfor…,"$31,739 ",3464
248,Max Winslow and the House o…,5/29/2020,3DLive,Thriller/Suspense,"$31,252 ",3411
249,After Parkland,2/12/2020,Kino Lorber,Documentary,"$30,444 ",3323
250,Rent-A-Pal,9/11/2020,IFC Midnight,Horror,"$29,615 ",3233
251,Olympic Dreams,2/14/2020,IFC Films,Romantic Comedy,"$29,450 ",3215
252,Tread,2/21/2020,Gravitas Ventures,Documentary,"$29,136 ",3180
253,Buffaloed,2/14/2020,Magnolia Pictures,Comedy,"$29,118 ",3178
255,Spree,8/14/2020,RLJ Entertainment,Black Comedy,"$28,771 ",3140
256,Sorry We Missed You,3/6/2020,Zeitgeist,Drama,"$28,273 ",3086
257,Cane River,2/7/2020,Oscilloscope Pict…,Drama,"$27,317 ",2982
258,José,1/31/2020,Outsider,Drama,"$26,563 ",2899
259,Zombi Child,1/24/2020,Film Movement,Adventure,"$25,878 ",2825
260,The Booksellers,3/6/2020,Greenwich,Documentary,"$25,694 ",2805
261,Unsubscribe,6/10/2020,Self Distributed,,"$25,488 ",2782
262,Disappearance at Clifton Hill,2/28/2020,IFC Midnight,Thriller/Suspense,"$25,084 ",2738
263,Heart of Africa,3/13/2020,Purdie Distribution,Drama,"$24,139 ",2635
264,Premature,2/21/2020,IFC Films,Drama,"$23,071 ",2518
267,The Innocent (1979) (Re-Rel…,2/14/2020,Film Movement,Drama,"$22,549 ",2461
269,Tar,10/2/2020,Howling Wolf Prod…,Horror,"$22,307 ",2435
270,I Propose We Never See Each…,8/28/2020,Mongrel Media,Romantic Comedy,"$21,757 ",2375
271,Pandora and the Flying Dutc…,2/7/2020,Cohen Media Group,Drama,"$21,536 ",2351
272,Hunter Hunter,12/18/2020,IFC Films,Horror,"$21,296 ",2324
273,Young Ahmed,2/21/2020,Kino Lorber,Drama,"$21,291 ",2324
274,The Cordillera of Dreams,2/12/2020,Icarus Films,Documentary,"$20,943 ",2286
275,Lore,1/17/2020,Indican Pictures,Thriller/Suspense,"$20,006 ",2184
276,Quarantine Cat Film Fest,6/19/2020,Row House Cinema,Documentary,"$20,000 ",2183
280,Foster Boy,9/18/2020,Gravitas Ventures,Drama,"$19,046 ",2079
281,Sputnik,8/14/2020,IFC Midnight,Horror,"$18,853 ",2058
282,The Jesus Rolls,2/28/2020,Screen Media Films,Comedy,"$18,169 ",1983
283,Sh*thouse,10/16/2020,IFC Films,Comedy,"$18,148 ",1981
287,"Never, Rarely, Sometimes, A…",3/13/2020,Focus Features,Drama,"$16,565 ",1808
288,Centigrade,8/28/2020,IFC Films,Thriller/Suspense,"$16,263 ",1775
289,Made in Hong Kong,3/6/2020,Metrograph Pictures,Comedy,"$16,255 ",1774
291,Strike,3/27/2020,Indican Pictures,Adventure,"$15,758 ",1720
292,Counter Column,10/16/2020,Not That Kind of …,Drama,"$15,527 ",1695
293,Zappa,11/27/2020,Magnolia Pictures,Documentary,"$15,502 ",1692
294,Vitalina Varela,2/21/2020,Grasshopper Film,Drama,"$14,941 ",1631
295,"I Was at Home, But…",2/14/2020,Cinema Guild,Drama,"$14,078 ",1536
296,Pahokee,4/24/2020,Monument Releasing,Documentary,"$13,250 ",1446
297,The Wild Goose Lake,3/6/2020,Film Movement,Thriller/Suspense,"$12,573 ",1372
298,Killer Raccoons 2: Dark Chr…,7/31/2020,Indican Pictures,Comedy,"$12,382 ",1351
299,Those Who Remained,2/14/2020,Menemsha Entertai…,Drama,"$11,862 ",1294
301,Twiceborn,10/16/2020,Freestyle Releasing,Drama,"$11,527 ",1258
303,Powerbomb,3/6/2020,Indican Pictures,Thriller/Suspense,"$11,319 ",1235
304,Lost in America,2/28/2020,Indican Pictures,Documentary,"$11,301 ",1233
306,You go to my Head,2/14/2020,First Run Features,Drama,"$10,683 ",1166
307,Circles: The Restorative Ju…,5/15/2020,Indican Pictures,Documentary,"$10,260 ",1120
308,Coded Bias,11/11/2020,7th Empire Media,Documentary,"$10,236 ",1117
309,The Last Tree,6/26/2020,ArtMattan Product…,Drama,"$10,128 ",1105
310,Guest Artist,7/10/2020,Indican Pictures,Drama,"$10,017 ",1093
311,Foosballers,2/11/2020,Kicking and Scree…,Documentary,"$9,966 ",1087
312,The Truth,7/3/2020,IFC Films,Drama,"$9,619 ",1050
313,Just One More Kiss,2/21/2020,Indican Pictures,Drama,"$9,130 ",996
314,Stardust,11/25/2020,IFC Films,Drama,"$9,087 ",992
315,Kindred,11/6/2020,IFC Midnight,Thriller/Suspense,"$8,921 ",973
316,The Trip to Greece,5/22/2020,IFC Films,Comedy,"$8,340 ",910
317,Inside the Rain,3/13/2020,Sky Island,Romantic Comedy,"$8,140 ",888
318,The Wave,1/17/2020,Epic Pictures Group,Thriller/Suspense,"$8,101 ",884
320,Advocate,1/3/2020,Film Movement,Documentary,"$7,790 ",850
322,The Bra,10/16/2020,Indican Pictures,Comedy,"$7,742 ",845
323,I Am Greta,10/16/2020,Mongrel Media,Documentary,"$7,574 ",826
324,Lie Exposed,3/6/2020,Mongrel Media,Drama,"$7,467 ",815
325,Resistance,4/17/2020,IFC Films,Drama,"$7,464 ",814
327,What We Found,7/31/2020,Freestyle Releasing,Thriller/Suspense,"$6,975 ",761
328,I Am Lisa,10/9/2020,Mutiny Pictures,Horror,"$6,949 ",758
329,12 Hour Shift,10/2/2020,Magnolia Pictures,Thriller/Suspense,"$6,820 ",744
330,Human Capital,7/17/2020,Vertical Entertai…,Drama,"$6,596 ",720
331,Afterward,1/10/2020,Abramorama Films,Documentary,"$6,477 ",707
332,In the Life of Music,8/14/2020,Indican Pictures,Drama,"$6,181 ",674
333,Blood Widow,1/17/2020,Indican Pictures,Thriller/Suspense,"$6,047 ",660
334,The Other Lamb,4/3/2020,IFC Films,Drama,"$6,024 ",657
335,Find Your Voice,9/11/2020,Indican Pictures,Comedy,"$6,019 ",657
338,Sex and the Future,6/5/2020,Indican Pictures,Comedy,"$5,727 ",625
339,Human Nature,3/13/2020,Greenwich,Documentary,"$5,487 ",599
340,Bang Bang,10/23/2020,Indican Pictures,Drama,"$5,042 ",550
341,Alice,5/15/2020,Monument Releasing,Comedy,"$5,000 ",545
342,Ottolenghi and the Cakes of…,9/25/2020,IFC Films,Documentary,"$4,962 ",541
343,Last Call,9/18/2020,K Street Pictures,Drama,"$4,894 ",534
344,Farewell Amor,12/11/2020,IFC Films,Drama,"$4,689 ",511
346,No Ordinary Love,10/24/2020,Self Distributed,Thriller/Suspense,"$4,656 ",508
347,Babyteeth,6/19/2020,IFC Films,Drama,"$4,507 ",492
348,Monero Means Money: Cryptoc…,4/10/2020,"rCryptoCurrency, LLC",Documentary,"$4,470 ",487
351,Dear Santa,12/4/2020,IFC Films,Documentary,"$4,109 ",448
352,Straight Up,2/28/2020,Strand,Romantic Comedy,"$4,075 ",444
355,King’s Gambit,3/6/2020,Indican Pictures,Thriller/Suspense,"$3,816 ",416
356,The Roads Not Taken,4/10/2020,Bleecker Street,Drama,"$3,518 ",384
357,IP Man: Kung Fu Master,12/11/2020,Magnet Pictures,Action,"$3,439 ",375
361,A Rainy Day in New York,10/9/2020,Amazon Studios,Romantic Comedy,"$2,744 ",299
362,Crock of Gold: A Few Rounds…,12/4/2020,Magnolia Pictures,Documentary,"$2,455 ",268
364,Horror Nights,4/24/2020,Southern Sykos Pr…,Horror,"$2,415 ",263
365,Goldie,2/21/2020,Film Movement,Drama,"$2,302 ",251
366,"Amigo Skate, Cuba",11/20/2020,Indican Pictures,Documentary,"$2,232 ",243
367,The Shade Shepherd,10/16/2020,Indican Pictures,Thriller/Suspense,"$2,116 ",231
368,The Transcendents,6/26/2020,Indican Pictures,Thriller/Suspense,"$2,041 ",222
369,A Mermaid in Paris,10/16/2020,Sony Pictures,Romantic Comedy,"$1,988 ",217
370,The Bay of Silence,8/14/2020,Vertical Entertai…,Thriller/Suspense,"$1,941 ",211
373,The Fox Hunter,6/5/2020,Indican Pictures,Comedy,"$1,577 ",172
375,The Painted Bird,7/17/2020,IFC Films,Drama,"$1,460 ",159
377,Queen of the Capital,6/20/2020,Mutiny Pictures,Documentary,"$1,269 ",138
379,Evergreen,12/23/2020,Indican Pictures,Drama,"$1,193 ",130
380,Fear PHarm,9/11/2020,Indican Pictures,Comedy,"$1,157 ",126
382,Hai Tang Hong,2/21/2020,M Star International,Drama,"$1,107 ",120
384,Parallel Policy,12/20/2020,Gathr Films,Documentary,"$1,070 ",116
388,Another Round,12/18/2020,Mongrel Media,Drama,$938 ,102
389,10 Days With Dad,11/20/2020,Distrib Films,Comedy,$856 ,93
391,Night Shift,11/20/2020,Distrib Films,Drama,$534 ,58
393,Granny Nanny,11/27/2020,Distrib Films,Comedy,$432 ,47
394,Sol,11/20/2020,Distrib Films,Comedy,$327 ,35
395,Love by Drowning,11/6/2020,Dow Jazz Films,Drama,$267 ,29
396,St. Patrick’s Day,12/18/2020,Self Distributed,Educational,$260 ,28
397,It’s For Your Own Good,11/27/2020,Distrib Films,Comedy,$256 ,27
